row_id,user_id,category_id,video_id,age,gender,profession,followers,views,engagement_score,fold
1,19990,37,128,24,1,1,180,1000,4.33,4
2,5304,32,132,14,0,1,330,714,1.79,2
3,1840,12,24,19,1,1,180,138,4.3500000000000005,1
4,12597,23,112,19,1,1,220,613,3.77,1
5,13626,23,112,27,1,2,220,613,3.13,3
6,9323,25,139,35,1,0,240,317,3.33,0
7,2071,7,14,23,1,1,160,467,3.8,3
8,21848,8,100,18,1,1,280,628,3.87,2
9,12896,3,4,15,1,1,270,621,2.88,4
10,16058,5,161,19,1,1,240,229,3.8,0
11,15545,12,88,18,0,1,180,138,3.73,4
12,23887,28,75,30,1,2,250,414,3.13,0
13,7626,5,72,36,0,2,240,229,0.0,2
14,17094,20,48,29,1,2,240,892,3.61,4
15,13839,36,107,35,1,0,260,178,4.2,4
16,5535,25,103,16,1,1,240,317,4.3100000000000005,1
17,15853,24,60,24,1,1,200,617,4.16,4
18,10005,8,74,18,1,1,280,628,3.77,3
19,3908,30,83,33,0,0,230,862,3.43,2
20,6622,5,87,17,1,1,240,229,4.96,0
21,3092,8,16,40,1,0,280,628,2.89,4
22,5795,31,151,25,0,0,230,156,3.69,1
23,5513,4,99,55,0,2,230,781,1.71,0
24,3450,1,15,34,0,2,360,990,2.06,3
25,25800,5,72,17,0,1,240,229,1.79,4
26,17368,25,102,30,1,2,240,317,3.65,3
27,24511,21,129,13,1,1,320,909,4.01,0
28,26261,25,102,13,1,1,240,317,4.37,0
29,20162,1,15,24,1,1,360,990,4.66,1
30,11532,5,119,30,0,0,240,229,3.4,4
31,388,7,13,39,1,2,160,467,2.6500000000000004,4
32,9823,21,51,25,1,2,320,909,3.63,2
33,13211,10,38,22,0,1,210,44,4.96,2
34,22287,16,35,29,0,0,270,462,3.81,0
35,2878,11,22,18,1,1,250,180,4.3500000000000005,3
36,23425,28,76,18,1,1,250,414,2.48,0
37,26238,19,45,14,1,1,230,369,4.11,2
38,22904,39,116,11,1,1,270,89,4.04,3
39,24774,5,109,33,1,0,240,229,4.5,3
40,11972,8,146,12,1,1,280,628,3.93,4
41,2959,8,100,39,1,0,280,628,3.47,1
42,26687,1,1,25,1,0,360,990,3.99,3
43,17233,8,67,18,1,1,280,628,3.77,4
44,4521,15,32,40,1,0,340,662,3.3,0
45,15562,23,53,44,0,2,220,613,4.18,0
46,27325,25,102,19,1,1,240,317,4.1400000000000015,0
47,19335,43,148,30,1,2,280,617,3.71,3
48,6496,25,140,37,1,0,240,317,3.87,0
49,19170,26,63,28,1,0,200,568,4.26,4
50,12879,34,115,17,0,1,230,840,2.48,2
51,2467,37,108,42,0,2,180,1000,1.96,4
