ID,RI,QA-check,Color-check,Purity-Level,Depth-percentage,Width-of-iron-top-width,Axis-x,Axis-y,Axis-z,Price-in-dollars
uid_36947,1.01,Premium,H,VS1,61.9,57.0,6.43,6.39,3.97,4779
uid_36834,0.41,Premium,E,VS1,59.8,61.0,4.85,4.79,2.88,1153
uid_39061,2.18,Premium,H,SI2,62.3,59.0,8.37,8.26,5.18,11579
uid_39213,0.71,Very Good,F,VS2,59.5,58.0,5.82,5.87,,2918
uid_15924,0.7,Ideal,E,SI2,61.0,55.0,5.76,,3.52,2332
uid_6470,0.7,Ideal,F,VS2,60.8,57.0,5.75,5.77,3.5,2956
uid_52683,0.5,Ideal,E,SI2,62.5,57.0,5.04,5.07,3.16,-12083
uid_22666,1.65,Ideal,G,VS2,60.8,56.0,7.65,7.7,4.67,14456
uid_52893,0.32,Premium,E,SI1,62.0,60.0,4.43,4.38,2.73,624
uid_50760,1.01,Good,E,SI2,63.7,58.0,6.36,6.32,4.04,4751
uid_16883,0.41,Ideal,G,SI1,62.9,56.0,4.75,4.7,2.97,923
uid_1755,0.82,Premium,H,VS1,62.3,60.0,5.97,5.94,,2985
uid_38622,0.31,Ideal,E,VS1,61.8,56.0,4.34,4.37,2.69,734
uid_45538,0.3,Ideal,F,SI1,62.3,54.0,4.27,4.3,2.67,500
uid_38154,0.32,Ideal,F,VVS2,60.9,56.0,4.44,4.46,2.71,800
uid_45524,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1662
uid_14018,0.5,Premium,G,SI2,62.0,59.0,5.1,5.03,3.14,1031
uid_3542,0.26,Ideal,E,VS1,61.8,55.0,,4.09,2.54,580
uid_2550,0.3,Very Good,D,VS1,59.7,58.0,4.39,4.32,2.6,681
uid_31862,0.54,Ideal,E,VS2,60.8,57.0,,5.24,3.2,1847
uid_3073,1.71,Ideal,I,VS2,60.5,56.0,7.71,7.73,4.67,11455
uid_53173,0.44,Premium,D,SI1,61.9,59.0,4.86,4.9,3.02,-12849
uid_16327,1.26,Premium,I,VS2,61.2,59.0,7.03,6.9,4.26,6350
uid_42787,0.26,Very Good,G,VVS2,62.5,55.0,4.1,4.12,2.57,486
uid_23386,0.33,Premium,G,VVS1,61.9,59.0,,4.38,,1114
uid_13016,1.11,Ideal,J,VS1,61.7,57.0,6.67,6.72,4.13,4854
uid_4617,0.35,Ideal,I,VS2,62.5,57.0,4.53,4.5,2.82,630
uid_9976,0.77,Ideal,D,SI2,60.2,56.0,5.98,6.04,3.62,2923
uid_12226,3.202809871245396,Very Good,J,SI1,62.7,58.0,7.22,7.26,4.54,6987
uid_40849,1.17,Ideal,G,VS2,62.0,57.0,6.74,,4.19,7423
uid_37256,0.31,Premium,E,SI1,59.3,59.0,4.42,,2.64,544
uid_22701,0.9,Fair,E,SI2,64.4,58.0,6.07,6.01,3.89,2639
uid_43464,0.3,Premium,D,VS2,60.9,58.0,4.32,4.35,2.64,710
uid_46785,0.72,Ideal,F,VS2,59.5,57.0,,5.86,,2863
uid_9666,-1.000560670219694,Good,G,SI1,63.6,55.0,5.03,5.06,3.21,1197
uid_22875,1.6,Ideal,G,VS1,62.0,57.0,7.47,7.43,4.62,9856
