CAR_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1_IMPROVEMENT,S2_IMPROVEMENT,S3_IMPROVEMENT,KPH,DRIVER_NAME,PIT_TIME,TEAM,LOCATION,EVENT,PITSTOP_TAKEN,EVENT_TYPE
10,1,92,0,A,0,0,0,28.8,BIRD,314.7,JAGUAR,L2,P2,True,P
10,2,87,2,A,2,2,2,120.5,BIRD,0.0,JAGUAR,L2,P2,False,P
10,3,73,0,B,0,0,0,101.9,BIRD,0.0,JAGUAR,L2,P2,False,P
11,1,73,0,A,0,0,0,75.9,GRASSI,33.0,AUDI,L2,P2,True,P
11,2,73,0,A,0,0,0,111.2,GRASSI,0.0,AUDI,L2,P2,False,P
11,3,101,2,A,2,2,2,119.7,GRASSI,0.0,AUDI,L2,P2,False,P
11,4,105,0,B,0,0,0,110.0,GRASSI,0.0,AUDI,L2,P2,False,P
13,1,84,0,A,0,0,0,87.9,COSTA,12.7,DS,L2,P2,True,P
13,2,85,0,A,0,0,0,119.9,COSTA,0.0,DS,L2,P2,False,P
13,3,101,0,A,0,0,0,83.8,COSTA,0.0,DS,L2,P2,False,P
13,4,103,2,A,2,2,2,120.4,COSTA,0.0,DS,L2,P2,False,P
13,5,78,0,B,0,0,0,85.2,COSTA,0.0,DS,L2,P2,False,P
17,1,106,0,A,0,0,0,81.4,VRIES,20.3,MERCEDES,L2,P2,True,P
17,2,118,2,A,2,2,2,122.0,VRIES,0.0,MERCEDES,L2,P2,False,P
17,3,92,0,A,0,0,0,96.6,VRIES,0.0,MERCEDES,L2,P2,False,P
17,4,89,0,A,0,0,0,116.7,VRIES,0.0,MERCEDES,L2,P2,False,P
17,5,80,0,A,0,0,0,116.9,VRIES,0.0,MERCEDES,L2,P2,False,P
17,6,82,0,B,0,0,0,69.0,VRIES,0.0,MERCEDES,L2,P2,False,P
20,1,88,0,A,0,0,0,75.0,EVANS,35.9,JAGUAR,L2,P2,True,P
20,2,105,0,A,0,0,0,110.4,EVANS,0.0,JAGUAR,L2,P2,False,P
20,3,104,2,A,2,2,2,121.4,EVANS,0.0,JAGUAR,L2,P2,False,P
20,4,94,0,A,0,0,0,103.6,EVANS,0.0,JAGUAR,L2,P2,False,P
20,5,76,0,A,0,0,0,119.7,EVANS,0.0,JAGUAR,L2,P2,False,P
20,6,104,0,B,0,0,0,60.9,EVANS,0.0,JAGUAR,L2,P2,False,P
22,1,75,0,A,0,0,0,87.2,ROWLAND,15.8,NISSAN,L2,P2,True,P
22,2,71,0,A,0,0,0,105.3,ROWLAND,0.0,NISSAN,L2,P2,False,P
22,3,123,2,A,2,2,2,121.8,ROWLAND,0.0,NISSAN,L2,P2,False,P
22,4,102,0,A,0,0,0,115.3,ROWLAND,0.0,NISSAN,L2,P2,False,P
22,5,92,0,A,0,0,0,115.7,ROWLAND,0.0,NISSAN,L2,P2,False,P
22,6,182,0,B,0,0,0,77.8,ROWLAND,0.0,NISSAN,L2,P2,False,P
23,1,93,0,A,0,0,0,86.7,BUEMI,15.1,NISSAN,L2,P2,True,P
23,2,76,0,A,0,0,0,105.4,BUEMI,0.0,NISSAN,L2,P2,False,P
23,3,72,2,A,2,2,2,119.8,BUEMI,0.0,NISSAN,L2,P2,False,P
23,4,92,0,A,0,0,0,106.2,BUEMI,0.0,NISSAN,L2,P2,False,P
23,5,89,0,A,0,0,0,119.2,BUEMI,0.0,NISSAN,L2,P2,False,P
23,6,69,0,B,0,0,0,74.8,BUEMI,0.0,NISSAN,L2,P2,False,P
28,1,102,0,A,0,0,0,58.8,GUNTHER,91.6,BMW,L2,P2,True,P
28,2,108,3,A,2,2,3,122.3,GUNTHER,0.0,BMW,L2,P2,False,P
28,3,69,0,A,0,0,0,119.8,GUNTHER,0.0,BMW,L2,P2,False,P
28,4,130,0,A,0,0,0,95.5,GUNTHER,0.0,BMW,L2,P2,False,P
28,5,99,0,B,0,0,0,99.9,GUNTHER,0.0,BMW,L2,P2,False,P
29,1,98,0,A,0,0,0,71.0,SIMS,57.8,MAHINDRA,L2,P2,True,P
29,2,69,0,A,0,0,0,108.7,SIMS,0.0,MAHINDRA,L2,P2,False,P
29,3,71,2,A,2,2,0,117.8,SIMS,0.0,MAHINDRA,L2,P2,False,P
29,4,93,0,A,0,0,0,115.5,SIMS,0.0,MAHINDRA,L2,P2,False,P
29,5,98,0,A,0,0,2,116.2,SIMS,0.0,MAHINDRA,L2,P2,False,P
29,6,80,0,B,0,0,0,59.1,SIMS,0.0,MAHINDRA,L2,P2,False,P
33,1,77,0,A,0,0,0,75.4,RAST,34.5,AUDI,L2,P2,True,P
33,2,69,0,A,0,0,0,116.0,RAST,0.0,AUDI,L2,P2,False,P
33,3,85,0,A,0,0,0,116.6,RAST,0.0,AUDI,L2,P2,False,P
33,4,48,2,A,0,2,2,119.3,RAST,0.0,AUDI,L2,P2,False,P
33,5,68,0,B,2,0,0,108.1,RAST,0.0,AUDI,L2,P2,False,P
36,1,145,0,A,0,0,2,28.2,LOTTERER,319.4,TAG,L2,P2,True,P
36,2,71,2,A,0,0,0,109.5,LOTTERER,0.0,TAG,L2,P2,False,P
36,3,110,0,B,2,2,0,99.1,LOTTERER,0.0,TAG,L2,P2,False,P
37,1,71,0,A,0,0,0,77.9,CASSIDY,27.5,ENVISION,L2,P2,True,P
37,2,93,2,A,2,2,2,121.6,CASSIDY,0.0,ENVISION,L2,P2,False,P
37,3,97,0,B,0,0,0,107.6,CASSIDY,0.0,ENVISION,L2,P2,False,P
4,1,105,0,A,0,0,0,76.8,FRIJNS,31.6,ENVISION,L2,P2,True,P
4,2,77,2,A,0,0,2,104.8,FRIJNS,0.0,ENVISION,L2,P2,False,P
4,3,72,0,B,2,2,0,114.7,FRIJNS,0.0,ENVISION,L2,P2,False,P
4,4,89,0,B,0,0,0,27.3,FRIJNS,222.8,ENVISION,L2,P2,True,P
48,1,68,0,A,0,0,0,73.6,MORTARA,40.4,ROKIT,L2,P2,True,P
48,2,81,0,A,0,0,0,113.0,MORTARA,0.0,ROKIT,L2,P2,False,P
48,3,69,0,A,0,0,0,114.7,MORTARA,0.0,ROKIT,L2,P2,False,P
48,4,115,2,A,2,2,2,116.6,MORTARA,0.0,ROKIT,L2,P2,False,P
48,5,93,0,A,0,0,0,100.2,MORTARA,0.0,ROKIT,L2,P2,False,P
48,6,112,0,B,0,0,0,55.5,MORTARA,0.0,ROKIT,L2,P2,False,P
5,1,114,0,A,0,0,0,79.5,VANDOORNE,23.0,MERCEDES,L2,P2,True,P
5,2,100,2,A,2,3,2,121.8,VANDOORNE,0.0,MERCEDES,L2,P2,False,P
5,3,84,0,A,0,0,0,96.9,VANDOORNE,0.0,MERCEDES,L2,P2,False,P
5,4,156,0,A,0,0,0,117.5,VANDOORNE,0.0,MERCEDES,L2,P2,False,P
5,5,89,0,A,0,0,0,117.6,VANDOORNE,0.0,MERCEDES,L2,P2,False,P
5,6,92,0,B,0,0,0,65.7,VANDOORNE,0.0,MERCEDES,L2,P2,False,P
6,1,71,0,A,0,0,0,65.9,MULLER,66.5,DRAGON,L2,P2,True,P
6,2,83,2,A,2,2,2,121.7,MULLER,0.0,DRAGON,L2,P2,False,P
6,3,105,0,A,0,0,0,111.7,MULLER,0.0,DRAGON,L2,P2,False,P
6,4,87,0,A,0,0,0,115.5,MULLER,0.0,DRAGON,L2,P2,False,P
6,5,74,0,B,0,0,0,108.3,MULLER,0.0,DRAGON,L2,P2,False,P
7,1,74,0,A,0,0,0,68.5,CAMARA,57.2,DRAGON,L2,P2,True,P
7,2,89,2,A,2,2,2,119.4,CAMARA,0.0,DRAGON,L2,P2,False,P
7,3,113,0,A,0,0,0,114.3,CAMARA,0.0,DRAGON,L2,P2,False,P
7,4,95,0,A,0,0,0,104.3,CAMARA,0.0,DRAGON,L2,P2,False,P
7,5,96,0,A,0,0,0,115.3,CAMARA,0.0,DRAGON,L2,P2,False,P
7,6,68,0,B,0,0,0,54.2,CAMARA,0.0,DRAGON,L2,P2,False,P
71,1,108,0,A,0,0,0,71.4,NATO,43.0,ROKIT,L2,P2,True,P
