CAR_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1_IMPROVEMENT,S2_IMPROVEMENT,S3_IMPROVEMENT,KPH,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,TEAM,LOCATION,EVENT,PITSTOP_TAKEN,EVENT_TYPE
5,1,92,0,0,0,0,0,28.8,343.3,35.4,43.3,0,314.7,5,1,1,1,0
5,2,87,1,0,1,1,1,120.5,25.7,33.4,41.9,0,0.0,5,1,1,0,0
5,3,73,0,1,0,0,0,101.9,28.1,34.1,,0,0.0,5,1,1,0,0
6,1,73,0,0,0,0,0,75.9,65.0,38.4,56.8,9,33.0,0,1,1,1,0
6,2,73,0,0,0,0,0,111.2,28.0,36.7,44.7,9,0.0,0,1,1,0,0
6,3,101,1,0,1,1,1,119.7,25.9,33.4,42.5,9,0.0,0,1,1,0,0
6,4,105,0,1,0,0,0,110.0,27.9,34.6,48.0,9,0.0,0,1,1,0,0
7,1,84,0,0,0,0,0,87.9,46.9,42.2,49.4,5,12.7,3,1,1,1,0
7,2,85,0,0,0,0,0,119.9,25.7,33.4,42.4,5,0.0,3,1,1,0,0
7,3,101,0,0,0,0,0,83.8,29.1,52.3,63.7,5,0.0,3,1,1,0,0
7,4,103,1,0,1,1,1,120.4,25.5,33.2,42.3,5,0.0,3,1,1,0,0
7,5,78,0,1,0,0,0,85.2,39.5,45.3,,5,0.0,3,1,1,0,0
8,1,106,0,0,0,0,0,81.4,52.9,41.4,55.1,22,20.3,7,1,1,1,0
8,2,118,1,0,1,1,1,122.0,25.3,32.7,41.7,22,0.0,7,1,1,0,0
8,3,92,0,0,0,0,0,96.6,35.2,40.6,50.2,22,0.0,7,1,1,0,0
8,4,89,0,0,0,0,0,116.7,26.5,34.5,43.2,22,0.0,7,1,1,0,0
8,5,80,0,0,0,0,0,116.9,26.4,34.5,43.2,22,0.0,7,1,1,0,0
8,6,82,0,1,0,0,0,69.0,26.5,63.1,,22,0.0,7,1,1,0,0
9,1,88,0,0,0,0,0,75.0,70.2,39.7,52.2,7,35.9,5,1,1,1,0
9,2,105,0,0,0,0,0,110.4,27.8,35.7,46.7,7,0.0,5,1,1,0,0
9,3,104,1,0,1,1,1,121.4,25.1,32.9,42.3,7,0.0,5,1,1,0,0
9,4,94,0,0,0,0,0,103.6,25.7,39.8,52.0,7,0.0,5,1,1,0,0
9,5,76,0,0,0,0,0,119.7,25.6,33.7,42.3,7,0.0,5,1,1,0,0
9,6,104,0,1,0,0,0,60.9,28.5,83.9,,7,0.0,5,1,1,0,0
10,1,75,0,0,0,0,0,87.2,47.4,42.3,49.9,17,15.8,9,1,1,1,0
10,2,71,0,0,0,0,0,105.3,27.7,38.2,49.6,17,0.0,9,1,1,0,0
10,3,123,1,0,1,1,1,121.8,25.4,32.8,41.7,17,0.0,9,1,1,0,0
10,4,102,0,0,0,0,0,115.3,26.8,34.9,43.9,17,0.0,9,1,1,0,0
10,5,92,0,0,0,0,0,115.7,26.8,34.8,43.5,17,0.0,9,1,1,0,0
10,6,182,0,1,0,0,0,77.8,26.8,42.2,,17,0.0,9,1,1,0,0
11,1,93,0,0,0,0,0,86.7,47.9,42.5,50.0,2,15.1,9,1,1,1,0
11,2,76,0,0,0,0,0,105.4,28.1,38.9,48.5,2,0.0,9,1,1,0,0
11,3,72,1,0,1,1,1,119.8,25.8,33.4,42.4,2,0.0,9,1,1,0,0
11,4,92,0,0,0,0,0,106.2,26.1,40.7,47.8,2,0.0,9,1,1,0,0
11,5,89,0,0,0,0,0,119.2,25.8,33.6,42.7,2,0.0,9,1,1,0,0
11,6,69,0,1,0,0,0,74.8,28.3,47.8,,2,0.0,9,1,1,0,0
14,1,102,0,0,0,0,0,58.8,124.0,36.7,46.2,10,91.6,1,1,1,1,0
14,2,108,2,0,1,1,2,122.3,25.1,32.8,41.6,10,0.0,1,1,1,0,0
14,3,69,0,0,0,0,0,119.8,25.4,33.7,42.5,10,0.0,1,1,1,0,0
14,4,130,0,0,0,0,0,95.5,32.5,44.4,50.6,10,0.0,1,1,1,0,0
14,5,99,0,1,0,0,0,99.9,25.8,33.6,,10,0.0,1,1,1,0,0
15,1,98,0,0,0,0,0,71.0,88.6,37.0,45.7,18,57.8,6,1,1,1,0
15,2,69,0,0,0,0,0,108.7,27.8,36.9,47.3,18,0.0,6,1,1,0,0
15,3,71,1,0,1,1,0,117.8,26.2,33.7,43.4,18,0.0,6,1,1,0,0
15,4,93,0,0,0,0,0,115.5,27.0,34.7,43.7,18,0.0,6,1,1,0,0
15,5,98,0,0,0,0,1,116.2,26.6,34.8,43.3,18,0.0,6,1,1,0,0
15,6,80,0,1,0,0,0,59.1,36.3,82.7,,18,0.0,6,1,1,0,0
16,1,77,0,0,0,0,0,75.4,67.0,38.1,56.2,16,34.5,0,1,1,1,0
16,2,69,0,0,0,0,0,116.0,26.7,34.3,43.8,16,0.0,0,1,1,0,0
16,3,85,0,0,0,0,0,116.6,26.7,34.4,43.3,16,0.0,0,1,1,0,0
16,5,68,0,1,1,0,0,108.1,25.9,35.2,,16,0.0,0,1,1,0,0
17,1,145,0,0,0,0,1,28.2,350.5,36.6,44.6,11,319.4,11,1,1,1,0
17,2,71,1,0,0,0,0,109.5,27.0,34.9,49.2,11,0.0,11,1,1,0,0
17,3,110,0,1,1,1,0,99.1,25.1,32.7,,11,0.0,11,1,1,0,0
18,1,71,0,0,0,0,0,77.9,61.5,39.8,54.8,4,27.5,4,1,1,1,0
18,2,93,1,0,1,1,1,121.6,25.2,32.7,42.2,4,0.0,4,1,1,0,0
18,3,97,0,1,0,0,0,107.6,26.4,36.3,,4,0.0,4,1,1,0,0
0,1,105,0,0,0,0,0,76.8,63.3,39.2,55.9,8,31.6,4,1,1,1,0
0,2,77,1,0,0,0,1,104.8,25.9,44.8,45.4,8,0.0,4,1,1,0,0
0,3,72,0,1,1,1,0,114.7,25.7,33.6,46.7,8,0.0,4,1,1,0,0
19,1,68,0,0,0,0,0,73.6,72.4,38.5,54.4,13,40.4,10,1,1,1,0
19,2,81,0,0,0,0,0,113.0,27.0,36.0,44.7,13,0.0,10,1,1,0,0
19,3,69,0,0,0,0,0,114.7,26.5,35.6,44.0,13,0.0,10,1,1,0,0
19,4,115,1,0,1,1,1,116.6,26.3,34.7,43.3,13,0.0,10,1,1,0,0
19,5,93,0,0,0,0,0,100.2,29.0,40.5,51.8,13,0.0,10,1,1,0,0
19,6,112,0,1,0,0,0,55.5,49.8,82.6,,13,0.0,10,1,1,0,0
1,1,114,0,0,0,0,0,79.5,54.8,42.4,55.8,20,23.0,7,1,1,1,0
1,2,100,1,0,1,2,1,121.8,25.2,32.6,42.1,20,0.0,7,1,1,0,0
1,3,84,0,0,0,0,0,96.9,34.3,39.9,51.4,20,0.0,7,1,1,0,0
1,4,156,0,0,0,0,0,117.5,26.4,34.2,43.0,20,0.0,7,1,1,0,0
1,5,89,0,0,0,0,0,117.6,26.4,34.1,43.0,20,0.0,7,1,1,0,0
1,6,92,0,1,0,0,0,65.7,26.5,72.3,,20,0.0,7,1,1,0,0
2,1,71,0,0,0,0,0,65.9,97.1,37.6,49.9,14,66.5,2,1,1,1,0
2,2,83,1,0,1,1,1,121.7,25.4,32.7,41.9,14,0.0,2,1,1,0,0
2,3,105,0,0,0,0,0,111.7,26.5,34.6,47.8,14,0.0,2,1,1,0,0
2,4,87,0,0,0,0,0,115.5,26.6,34.3,44.4,14,0.0,2,1,1,0,0
2,5,74,0,1,0,0,0,108.3,26.8,34.1,,14,0.0,2,1,1,0,0
3,1,74,0,0,0,0,0,68.5,87.5,37.5,52.6,3,57.2,2,1,1,1,0
3,2,89,1,0,1,1,1,119.4,25.1,34.4,42.5,3,0.0,2,1,1,0,0
3,3,113,0,0,0,0,0,114.3,27.7,34.5,44.3,3,0.0,2,1,1,0,0
3,4,95,0,0,0,0,0,104.3,36.8,35.4,44.4,3,0.0,2,1,1,0,0
3,5,96,0,0,0,0,0,115.3,26.9,34.4,44.2,3,0.0,2,1,1,0,0
3,6,68,0,1,0,0,0,54.2,52.0,82.9,,3,0.0,2,1,1,0,0
20,1,108,0,0,0,0,0,71.4,77.0,40.6,52.9,15,43.0,10,1,1,1,0
20,2,70,0,0,0,0,0,110.6,26.4,38.5,45.2,15,0.0,10,1,1,0,0
20,3,100,0,0,0,0,0,101.9,27.3,35.7,56.4,15,0.0,10,1,1,0,0
20,4,90,1,0,1,1,1,117.8,26.2,33.7,43.4,15,0.0,10,1,1,0,0
20,5,109,0,1,0,0,0,88.9,38.4,41.4,,15,0.0,10,1,1,0,0
22,1,109,0,0,0,0,0,72.4,71.5,40.3,56.2,12,38.5,6,1,1,1,0
22,2,147,0,0,0,0,0,111.6,27.1,35.8,46.2,12,0.0,6,1,1,0,0
22,3,73,0,0,0,0,0,116.4,26.8,34.4,43.3,12,0.0,6,1,1,0,0
22,4,71,0,0,0,0,0,104.3,33.2,37.6,45.8,12,0.0,6,1,1,0,0
22,5,88,1,0,1,1,1,118.6,26.4,33.7,42.4,12,0.0,6,1,1,0,0
22,6,102,0,1,0,0,0,57.4,43.3,82.6,,12,0.0,6,1,1,0,0
