index,edible-poisonous,cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season,fold
0,1,5.75,0,1,1,1,5,6.13,14.93,5,0,0,0,0,1
1,1,2.27,1,2,0,0,0,0.0,0.0,0,0,0,0,1,0
2,1,5.59,2,3,1,2,4,5.47,11.27,5,0,0,0,0,4
3,1,0.74,0,4,0,3,1,4.33,0.98,11,0,0,0,0,3
4,1,9.6,0,1,0,3,5,10.84,28.52,5,0,0,0,2,3
5,0,9.24,0,1,1,4,4,8.52,17.52,5,1,1,1,0,4
6,0,5.31,3,2,0,1,5,3.84,9.24,2,0,0,0,2,0
7,1,1.43,4,1,0,3,2,4.33,1.66,2,0,0,0,2,0
8,1,1.82,4,1,0,3,2,5.26,2.05,1,0,0,0,2,3
10,1,6.04,5,6,0,5,3,4.13,6.98,6,0,0,0,0,1
11,0,4.86,0,6,0,6,1,6.54,11.68,9,0,0,0,2,3
14,0,8.71,0,1,1,6,2,11.88,23.6,5,0,0,0,0,3
15,1,3.49,0,5,0,2,4,7.4,3.98,1,0,0,1,2,2
19,0,7.18,3,6,0,1,3,8.94,13.37,1,0,0,0,0,0
20,1,0.86,3,6,0,5,6,4.54,0.91,3,0,0,2,2,4
21,0,6.07,4,2,0,1,2,4.69,9.22,2,0,0,0,2,0
22,0,15.8,0,1,0,3,11,7.39,22.96,5,0,0,0,0,1
23,0,4.19,5,3,0,0,0,6.64,9.11,3,0,0,0,0,3
25,1,1.61,0,7,0,3,4,3.92,2.59,5,0,0,2,0,1
26,0,5.53,0,3,1,2,3,5.86,14.12,5,0,0,0,0,4
27,1,11.21,5,4,1,5,4,8.43,15.04,4,1,0,0,2,3
28,0,6.53,0,1,0,4,1,4.53,13.05,5,1,2,3,2,1
29,1,11.16,0,1,0,3,5,10.33,29.11,5,0,0,0,2,1
30,1,0.76,0,4,0,3,1,3.63,0.95,11,0,0,0,2,4
31,1,1.23,0,1,0,5,1,1.31,2.33,1,0,0,0,0,4
